iter	Passed	Remaining
0	235	1175991
1	471	1178591
2	711	1185816
3	956	1194763
4	1181	1180452
5	1407	1171803
6	1656	1181485
7	1900	1185656
8	2154	1195063
9	2396	1195960
10	2654	1203771
11	2889	1201070
12	3116	1195448
13	3363	1197728
14	3600	1196457
15	3833	1194130
16	4070	1193222
17	4320	1195911
18	4552	1193372
19	4788	1192278
20	5032	1193104
21	5243	1186365
22	5486	1187139
23	5686	1179090
24	5912	1176644
25	6120	1170867
26	6346	1168940
27	6578	1168112
28	6802	1165971
29	7014	1161986
30	7240	1160558
31	7466	1159239
32	7700	1158974
33	7934	1158905
34	8148	1155862
35	8381	1155741
36	8634	1158244
37	8860	1157033
38	9107	1158540
39	9316	1155270
40	9540	1153893
41	9746	1150569
42	9972	1149585
43	10185	1147281
44	10381	1143087
45	10614	1143169
46	10835	1141867
47	11073	1142442
48	11289	1140682
49	11531	1141661
50	11759	1141159
51	11961	1138160
52	12171	1136047
53	12393	1135161
54	12601	1133011
55	12819	1131782
56	13022	1129300
57	13248	1128871
58	13477	1128678
59	13672	1125728
60	13904	1125804
61	14098	1122911
62	14308	1121248
63	14533	1120888
64	14740	1119152
65	14990	1120626
66	15197	1118920
67	15391	1116365
68	15595	1114529
69	15829	1114853
70	16047	1114083
71	16293	1115195
72	16514	1114605
73	16745	1114684
74	16953	1113258
75	17172	1112584
76	17382	1111372
77	17602	1110754
78	17829	1110632
79	18032	1109002
80	18241	1107753
81	18478	1108268
82	18673	1106233
83	18918	1107162
84	19150	1107332
85	19354	1105903
86	19570	1105187
87	19766	1103340
88	19981	1102597
89	20182	1101085
90	20376	1099222
91	20619	1100011
92	20841	1099682
93	21041	1098183
94	21250	1097214
95	21454	1095982
96	21683	1096003
97	21885	1094722
98	22079	1093050
99	22287	1092082
100	22507	1091722
101	22733	1091648
102	22961	1091659
103	23151	1089905
104	23353	1088710
105	23559	1087721
106	23787	1087764
107	23999	1087074
108	24198	1085812
109	24440	1086484
110	24649	1085678
111	24843	1084223
112	25046	1083187
113	25239	1081755
114	25439	1080631
115	25672	1080894
116	25893	1080660
117	26090	1079424
118	26306	1079007
119	26485	1077092
120	26703	1076737
121	26901	1075631
122	27116	1075196
123	27309	1073886
124	27505	1072715
125	27709	1071887
126	27930	1071677
127	28134	1070883
128	28355	1070699
129	28553	1069666
130	28724	1067614
131	28929	1066876
132	29138	1066295
133	29361	1066229
134	29537	1064456
135	29734	1063431
136	29935	1062609
137	30147	1062169
138	30357	1061655
139	30577	1061487
140	30775	1060540
141	30986	1060098
142	31201	1059752
143	31401	1058941
144	31629	1059053
145	31834	1058380
146	32055	1058254
147	32270	1057950
148	32484	1057594
149	32716	1057834
150	32917	1057063
151	33131	1056731
152	33354	1056665
153	33555	1055894
154	33752	1055027
155	33972	1054883
156	34202	1055038
157	34415	1054667
158	34612	1053831
159	34788	1052343
160	34984	1051502
161	35189	1050919
162	35419	1051068
163	35637	1050877
164	35856	1050717
165	36083	1050776
166	36288	1050191
167	36507	1050023
168	36715	1049528
169	36924	1049091
170	37131	1048597
171	37326	1047743
172	37552	1047779
173	37794	1048262
174	37982	1047241
175	38189	1046747
176	38388	1046035
177	38618	1046162
178	38820	1045548
179	39022	1044928
180	39259	1045258
181	39470	1044881
182	39669	1044203
183	39871	1043590
184	40089	1043400
185	40275	1042387
